mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.7267493724822998,0.1048021861194645,0.016205787658691406,0.003194828592069288,0.9,1,1.0,0.0,100,1,4,0.05,0.1,0.7,"{'subsample': 0.9, 'scale_pos_weight': 1, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.7}",0.5219607699495271,0.5365137730944606,0.5197461116847946,0.52003475896442,0.5109044652345021,0.5218319757855409,0.008277234614880087,49
3.4736430168151857,0.18152364576131877,0.1081770896911621,0.011139254429735526,0.9,1,1.5,0.5,300,5,8,0.2,0.1,0.9,"{'subsample': 0.9, 'scale_pos_weight': 1, 'reg_lambda': 1.5, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 5, 'max_depth': 8, 'learning_rate': 0.2, 'gamma': 0.1, 'colsample_bytree': 0.9}",0.6084954295898027,0.627221273505368,0.6069734654248548,0.6142871003224107,0.6050289877561724,0.6124012513197218,0.008028151184436593,11
1.153372097015381,0.15869986167027506,0.026609039306640624,0.006474541967234901,0.7,1,1.5,0.0,200,5,4,0.2,0.0,0.8,"{'subsample': 0.7, 'scale_pos_weight': 1, 'reg_lambda': 1.5, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 0.8}",0.5589694966305889,0.5639212686009427,0.5614497338808896,0.557657478562039,0.5513110701714092,0.5586618095691739,0.004256081603264076,35
5.662758541107178,0.5453505247721847,0.20751891136169434,0.023834948089468642,0.7,1,2.0,0.5,300,1,10,0.1,0.2,0.8,"{'subsample': 0.7, 'scale_pos_weight': 1, 'reg_lambda': 2, 'reg_alpha': 0.5, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.8}",0.6165440971445465,0.6322995589874995,0.6212443821704622,0.6183241363514506,0.6217394042684911,0.62203031578449,0.005477116724582443,3
1.074379301071167,0.13690038926740433,0.022183656692504883,0.0015928642457899453,0.8,1,2.0,0.5,200,5,4,0.2,0.2,0.7,"{'subsample': 0.8, 'scale_pos_weight': 1, 'reg_lambda': 2, 'reg_alpha': 0.5, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 0.7}",0.5580359921959182,0.5643387701611369,0.5515896811484983,0.5571818895717846,0.5463306332663971,0.555495393268747,0.006111491481081989,37
5.9723574161529545,0.3806640639241016,0.16823077201843262,0.03635667067271461,0.9,1,2.0,0.5,200,1,10,0.05,0.2,0.7,"{'subsample': 0.9, 'scale_pos_weight': 1, 'reg_lambda': 2, 'reg_alpha': 0.5, 'n_estimators': 200, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.7}",0.6152367620436738,0.6251749653853924,0.6198156683237385,0.6138235991791573,0.6049543984437246,0.6158010786751373,0.00672110158476184,8
1.8419222354888916,0.21099501833271428,0.046836137771606445,0.013671793051683218,0.7,1,1.0,0.5,100,1,8,0.05,0.2,0.7,"{'subsample': 0.7, 'scale_pos_weight': 1, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.05, 'gamma': 0.2, 'colsample_bytree': 0.7}",0.5790264055102201,0.5906929892276082,0.5767655819768632,0.578096339093631,0.5805122261796803,0.5810187083976006,0.004988924359208982,25
1.6446936130523682,0.17772620347653792,0.030394458770751955,0.0013730436141960085,0.7,1,1.0,0.0,100,1,8,0.2,0.2,0.7,"{'subsample': 0.7, 'scale_pos_weight': 1, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.2, 'gamma': 0.2, 'colsample_bytree': 0.7}",0.5891699027424866,0.6023863559755481,0.5982238587288098,0.5972605363899536,0.6071105204259528,0.5988302348525503,0.005955884289711782,20
1.5613125324249268,0.1450151870679114,0.035671424865722653,0.0025986893206097496,0.9,1,1.0,0.0,200,5,6,0.05,0.0,0.9,"{'subsample': 0.9, 'scale_pos_weight': 1, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 200, 'min_child_weight': 5, 'max_depth': 6, 'learning_rate': 0.05, 'gamma': 0, 'colsample_bytree': 0.9}",0.561566207666539,0.575483563326941,0.5570177008581901,0.5627842747231365,0.5626094073910116,0.5638922307931636,0.006162819774344577,31
0.5135913372039795,0.06846541312180389,0.014122104644775391,0.0025052929977163953,0.9,1,1.0,1.0,100,1,4,0.2,0.0,0.7,"{'subsample': 0.9, 'scale_pos_weight': 1, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 100, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.2, 'gamma': 0, 'colsample_bytree': 0.7}",0.5399912928076273,0.5478466194529058,0.5398941197410769,0.5481966269361037,0.5336412782886685,0.5419139874452764,0.005493305353092785,43
